county,office,district,party,candidate,votes
Charlestown,Town Moderator TOWN OF CHARLESTOWN,,Ind,Charles W. Beck,1827
Charlestown,Town Moderator TOWN OF CHARLESTOWN,,Ind,Jan V. Knost,1572
Charlestown,Town Moderator TOWN OF CHARLESTOWN,,NON,WRITE-IN,11
Charlestown,Chariho School Committee TOWN OF CHARLESTOWN,,,Total,7535
Charlestown,Chariho School Committee TOWN OF CHARLESTOWN,,Ind,Donna Chambers,2665
Charlestown,Chariho School Committee TOWN OF CHARLESTOWN,,Ind,Linda Delfino Lyall,2496
Charlestown,Chariho School Committee TOWN OF CHARLESTOWN,,Ind,Craig F. Louzon,2322
Charlestown,Chariho School Committee TOWN OF CHARLESTOWN,,NON,WRITE-IN,52
Charlestown,Town Council TOWN OF CHARLESTOWN,,,Total,15898
Charlestown,Town Council TOWN OF CHARLESTOWN,,Ind,Virginia Lee,1911
Charlestown,Town Council TOWN OF CHARLESTOWN,,Ind,Deborah A. Carney,1831
Charlestown,Town Council TOWN OF CHARLESTOWN,,Ind,Bonnita B. Van Slyke,1829
Charlestown,Town Council TOWN OF CHARLESTOWN,,Ind,Julie A. Carroccia,1739
Charlestown,Town Council TOWN OF CHARLESTOWN,,Ind,David M. Wilkinson,1639
Charlestown,Town Council TOWN OF CHARLESTOWN,,Ind,Jodi J. Frank,1447
Charlestown,Town Council TOWN OF CHARLESTOWN,,Ind,William H. Wilson,1428
Charlestown,Town Council TOWN OF CHARLESTOWN,,Ind,Frank D. Glista,1421
Charlestown,Town Council TOWN OF CHARLESTOWN,,Ind,Timothy E. Quillen,1339
Charlestown,Town Council TOWN OF CHARLESTOWN,,Ind,Jane W. Glander,1281
Charlestown,Town Council TOWN OF CHARLESTOWN,,NON,WRITE-IN,33
Charlestown,Non-Partisan Planning Commission TOWN OF CHARLESTOWN,,,Total,9665
Charlestown,Non-Partisan Planning Commission TOWN OF CHARLESTOWN,,NON,Sarah E. St. Laurent,2412
Charlestown,Non-Partisan Planning Commission TOWN OF CHARLESTOWN,,NON,Denise L. Rhodes,2409
Charlestown,Non-Partisan Planning Commission TOWN OF CHARLESTOWN,,NON,Frances M. Topping,2395
Charlestown,Non-Partisan Planning Commission TOWN OF CHARLESTOWN,,NON,Ruth L. Platner,2390
Charlestown,Non-Partisan Planning Commission TOWN OF CHARLESTOWN,,NON,WRITE-IN,59
Charlestown,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,,Total,3579
Charlestown,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Approve,2547
Charlestown,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Reject,1032
Charlestown,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,,Total,3559
Charlestown,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Approve,2113
Charlestown,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Reject,1446
Charlestown,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,,Total,3576
Charlestown,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Approve,2784
Charlestown,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Reject,792
Coventry,Senator in Congress,,,Total,14140
Coventry,Senator in Congress,,REP,"Robert G. Flanders, Jr.",7157
Coventry,Senator in Congress,,DEM,Sheldon Whitehouse,6940
Coventry,Senator in Congress,,NON,WRITE-IN,43
Coventry,Representative in Congress District 2,,,Total,14041
Coventry,Representative in Congress District 2,,DEM,James R. Langevin,7835
Coventry,Representative in Congress District 2,,REP,Salvatore G. Caiozzo,6180
Coventry,Representative in Congress District 2,,NON,WRITE-IN,26
Coventry,Governor,,,Total,14103
Coventry,Governor,,REP,Allan W. Fung,7003
Coventry,Governor,,DEM,Gina M. Raimondo,5467
Coventry,Governor,,Ind,Joseph A. Trillo,778
Coventry,Governor,,MOD,William H. Gilbert,455
Coventry,Governor,,Ind,Luis Daniel Munoz,197
Coventry,Governor,,Com,Anne Armstrong,160
Coventry,Governor,,NON,WRITE-IN,43
Coventry,Lieutenant Governor,,,Total,13860
Coventry,Lieutenant Governor,,DEM,Daniel J. McKee,6906
Coventry,Lieutenant Governor,,REP,Paul E. Pence,5717
Coventry,Lieutenant Governor,,Ind,Jonathan J. Riccitelli,436
Coventry,Lieutenant Governor,,MOD,Joel J. Hellmann,428
Coventry,Lieutenant Governor,,Ind,Ross K. McCurdy,317
Coventry,Lieutenant Governor,,NON,WRITE-IN,56
Coventry,Secretary of State,,,Total,13890
Coventry,Secretary of State,,DEM,Nellie M. Gorbea,7908
Coventry,Secretary of State,,REP,Pat V. Cortellessa,5963
Coventry,Secretary of State,,NON,WRITE-IN,19
Coventry,Attorney General,,,Total,12996
Coventry,Attorney General,,DEM,Peter F. Neronha,9160
Coventry,Attorney General,,Com,Alan Gordon,3640
Coventry,Attorney General,,NON,WRITE-IN,196
Coventry,General Treasurer,,,Total,13868
Coventry,General Treasurer,,DEM,Seth Magaziner,7308
Coventry,General Treasurer,,REP,Michael G. Riley,6538
Coventry,General Treasurer,,NON,WRITE-IN,22
Coventry,Senator in General Assembly District 21,,,Total,4323
Coventry,Senator in General Assembly District 21,,REP,Gordon E. Rogers,1879
Coventry,Senator in General Assembly District 21,,DEM,James S. Safford,1440
Coventry,Senator in General Assembly District 21,,Ind,Michael D. Fine,1000
Coventry,Senator in General Assembly District 21,,NON,WRITE-IN,4
Coventry,Senator in General Assembly District 33,,,Total,9590
Coventry,Senator in General Assembly District 33,,DEM,Leonidas P. Raptakis,5276
Coventry,Senator in General Assembly District 33,,REP,Scott R. Copley,4293
Coventry,Senator in General Assembly District 33,,NON,WRITE-IN,21
Coventry,Representative in General Assembly District 25,,,Total,1016
Coventry,Representative in General Assembly District 25,,DEM,Thomas E. Noret,582
Coventry,Representative in General Assembly District 25,,REP,Dorinne L. Albright,432
Coventry,Representative in General Assembly District 25,,NON,WRITE-IN,2
Coventry,Representative in General Assembly District 26,,,Total,1226
Coventry,Representative in General Assembly District 26,,REP,Tammy L. Collins,656
Coventry,Representative in General Assembly District 26,,DEM,James B. Jackson,567
Coventry,Representative in General Assembly District 26,,NON,WRITE-IN,3
Coventry,Representative in General Assembly District 27,,,Total,794
Coventry,Representative in General Assembly District 27,,DEM,Patricia A. Serpa,481
Coventry,Representative in General Assembly District 27,,REP,Mark E. Bourget,312
Coventry,Representative in General Assembly District 27,,NON,WRITE-IN,1
Coventry,Representative in General Assembly District 28,,,Total,5808
Coventry,Representative in General Assembly District 28,,REP,George A. Nardone,2916
Coventry,Representative in General Assembly District 28,,DEM,Lucas W. Murray,2885
Coventry,Representative in General Assembly District 28,,NON,WRITE-IN,7
Coventry,Representative in General Assembly District 29,,,Total,3847
Coventry,Representative in General Assembly District 29,,REP,Sherry Roberts,2175
Coventry,Representative in General Assembly District 29,,Ind,Ernest J. Nardolillo,1662
Coventry,Representative in General Assembly District 29,,NON,WRITE-IN,10
Coventry,Representative in General Assembly District 40,,,Total,1153
Coventry,Representative in General Assembly District 40,,REP,Michael W. Chippendale,696
Coventry,Representative in General Assembly District 40,,DEM,Lauren Niedel-Gresh,456
Coventry,Representative in General Assembly District 40,,NON,WRITE-IN,1
Coventry,Non-Partisan Town Council Coventry District 1,,,Total,2748
Coventry,Non-Partisan Town Council Coventry District 1,,NON,Ann M. Dickson,1425
Coventry,Non-Partisan Town Council Coventry District 1,,NON,David S. Dadekian,1288
Coventry,Non-Partisan Town Council Coventry District 1,,NON,WRITE-IN,35
Coventry,Non-Partisan Town Council Coventry District 4,,,Total,2362
Coventry,Non-Partisan Town Council Coventry District 4,,NON,Gary P. Cote,1175
Coventry,Non-Partisan Town Council Coventry District 4,,NON,April Campopiano,1167
Coventry,Non-Partisan Town Council Coventry District 4,,NON,WRITE-IN,20
Coventry,Non-Partisan School Committee Coventry District 2,,,Total,2289
Coventry,Non-Partisan School Committee Coventry District 2,,NON,Katherine M. Patenaude,2218
Coventry,Non-Partisan School Committee Coventry District 2,,NON,WRITE-IN,71
Coventry,Non-Partisan School Committee Coventry District 3,,,Total,2101
Coventry,Non-Partisan School Committee Coventry District 3,,NON,Donna M. Kalunian,2043
Coventry,Non-Partisan School Committee Coventry District 3,,NON,WRITE-IN,58
Coventry,Non-Partisan School Committee Coventry District 5,,,Total,2501
Coventry,Non-Partisan School Committee Coventry District 5,,NON,James P. Pierson,2426
Coventry,Non-Partisan School Committee Coventry District 5,,NON,WRITE-IN,75
Coventry,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,,Total,13507
Coventry,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Approve,9301
Coventry,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Reject,4206
Coventry,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,,Total,13414
Coventry,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Reject,7161
Coventry,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Approve,6253
Coventry,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,,Total,13465
Coventry,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Approve,9495
Coventry,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Reject,3970
Coventry,4. FINANCIAL TOWN MEETING ALL-DAY REFERENDUM; LEVY &amp;,,,Total,12329
Coventry,4. FINANCIAL TOWN MEETING ALL-DAY REFERENDUM; LEVY &amp;,,NON,Approve,6221
Coventry,4. FINANCIAL TOWN MEETING ALL-DAY REFERENDUM; LEVY &amp;,,NON,Reject,6108
Cranston,Senator in Congress,,,Total,31242
Cranston,Senator in Congress,,DEM,Sheldon Whitehouse,17896
Cranston,Senator in Congress,,REP,"Robert G. Flanders, Jr.",13274
Cranston,Senator in Congress,,NON,WRITE-IN,72
Cranston,Representative in Congress District 2,,,Total,30863
Cranston,Representative in Congress District 2,,DEM,James R. Langevin,19627
Cranston,Representative in Congress District 2,,REP,Salvatore G. Caiozzo,11152
Cranston,Representative in Congress District 2,,NON,WRITE-IN,84
Cranston,Governor,,,Total,31390
Cranston,Governor,,REP,Allan W. Fung,16651
Cranston,Governor,,DEM,Gina M. Raimondo,12687
Cranston,Governor,,Ind,Joseph A. Trillo,886
Cranston,Governor,,MOD,William H. Gilbert,492
Cranston,Governor,,Ind,Luis Daniel Munoz,366
Cranston,Governor,,Com,Anne Armstrong,232
Cranston,Governor,,NON,WRITE-IN,76
Cranston,Lieutenant Governor,,,Total,30340
Cranston,Lieutenant Governor,,DEM,Daniel J. McKee,17639
Cranston,Lieutenant Governor,,REP,Paul E. Pence,10194
Cranston,Lieutenant Governor,,Ind,Jonathan J. Riccitelli,928
Cranston,Lieutenant Governor,,MOD,Joel J. Hellmann,883
Cranston,Lieutenant Governor,,Ind,Ross K. McCurdy,493
Cranston,Lieutenant Governor,,NON,WRITE-IN,203
Cranston,Secretary of State,,,Total,30548
Cranston,Secretary of State,,DEM,Nellie M. Gorbea,19134
Cranston,Secretary of State,,REP,Pat V. Cortellessa,11354
Cranston,Secretary of State,,NON,WRITE-IN,60
Cranston,Attorney General,,,Total,28374
Cranston,Attorney General,,DEM,Peter F. Neronha,22566
Cranston,Attorney General,,Com,Alan Gordon,5462
Cranston,Attorney General,,NON,WRITE-IN,346
Cranston,General Treasurer,,,Total,30390
Cranston,General Treasurer,,DEM,Seth Magaziner,18604
Cranston,General Treasurer,,REP,Michael G. Riley,11720
Cranston,General Treasurer,,NON,WRITE-IN,66
Cranston,Senator in General Assembly District 26,,,Total,8255
Cranston,Senator in General Assembly District 26,,DEM,Frank S. Lombardi,7916
Cranston,Senator in General Assembly District 26,,NON,WRITE-IN,339
Cranston,Senator in General Assembly District 27,,,Total,11064
Cranston,Senator in General Assembly District 27,,DEM,Hanna M. Gallo,6671
Cranston,Senator in General Assembly District 27,,REP,Jonathan J. Keith,4378
Cranston,Senator in General Assembly District 27,,NON,WRITE-IN,15
Cranston,Senator in General Assembly District 28,,,Total,7917
Cranston,Senator in General Assembly District 28,,DEM,Joshua Miller,7615
Cranston,Senator in General Assembly District 28,,NON,WRITE-IN,302
Cranston,Representative in General Assembly District 14,,,Total,2674
Cranston,Representative in General Assembly District 14,,DEM,Charlene Lima,2572
Cranston,Representative in General Assembly District 14,,NON,WRITE-IN,102
Cranston,Representative in General Assembly District 15,,,Total,6628
Cranston,Representative in General Assembly District 15,,DEM,Nicholas A. Mattiello,3464
Cranston,Representative in General Assembly District 15,,REP,Steven Frias,3135
Cranston,Representative in General Assembly District 15,,NON,WRITE-IN,29
Cranston,Representative in General Assembly District 16,,,Total,6134
Cranston,Representative in General Assembly District 16,,DEM,Christopher T. Millea,3223
Cranston,Representative in General Assembly District 16,,REP,Robert B. Lancia,2896
Cranston,Representative in General Assembly District 16,,NON,WRITE-IN,15
Cranston,Representative in General Assembly District 17,,,Total,4497
Cranston,Representative in General Assembly District 17,,DEM,Robert B. Jacquard,4311
Cranston,Representative in General Assembly District 17,,NON,WRITE-IN,186
Cranston,Representative in General Assembly District 18,,,Total,4458
Cranston,Representative in General Assembly District 18,,DEM,Arthur Handy,4285
Cranston,Representative in General Assembly District 18,,NON,WRITE-IN,173
Cranston,Representative in General Assembly District 19,,,Total,686
Cranston,Representative in General Assembly District 19,,DEM,Joseph McNamara,514
Cranston,Representative in General Assembly District 19,,REP,Ruth M. Page,168
Cranston,Representative in General Assembly District 19,,NON,WRITE-IN,4
Cranston,Representative in General Assembly District 20,,,Total,23
Cranston,Representative in General Assembly District 20,,DEM,David A. Bennett,12
Cranston,Representative in General Assembly District 20,,Ind,Dan Elliott,11
Cranston,Representative in General Assembly District 20,,NON,WRITE-IN,0
Cranston,Representative in General Assembly District 41,,,Total,1999
Cranston,Representative in General Assembly District 41,,REP,Robert J. Quattrocchi,1285
Cranston,Representative in General Assembly District 41,,DEM,Michael Christopher Steiner,711
Cranston,Representative in General Assembly District 41,,NON,WRITE-IN,3
Cranston,Representative in General Assembly District 42,,,Total,1099
Cranston,Representative in General Assembly District 42,,DEM,Stephen R. Ucci,1061
Cranston,Representative in General Assembly District 42,,NON,WRITE-IN,38
Cranston,Council-City Wide CITY OF CRANSTON,,,Total,71707
Cranston,Council-City Wide CITY OF CRANSTON,,DEM,Steven A. Stycos,13674
Cranston,Council-City Wide CITY OF CRANSTON,,REP,Michael J. Farina,13341
Cranston,Council-City Wide CITY OF CRANSTON,,REP,Kenneth J. Hopkins,11723
Cranston,Council-City Wide CITY OF CRANSTON,,DEM,Sarah K. Lee,11229
Cranston,Council-City Wide CITY OF CRANSTON,,DEM,Gail D. Harvey,11029
Cranston,Council-City Wide CITY OF CRANSTON,,REP,Amy L. Ricci,10538
Cranston,Council-City Wide CITY OF CRANSTON,,NON,WRITE-IN,173
Cranston,Council Cranston Ward 1,,,Total,5232
Cranston,Council Cranston Ward 1,,DEM,Lammis J. Vargas,3946
Cranston,Council Cranston Ward 1,,REP,Christopher R. Sparks,1269
Cranston,Council Cranston Ward 1,,NON,WRITE-IN,17
Cranston,Council Cranston Ward 2,,,Total,3924
Cranston,Council Cranston Ward 2,,DEM,Paul J. McAuley,3791
Cranston,Council Cranston Ward 2,,NON,WRITE-IN,133
Cranston,Council Cranston Ward 3,,,Total,3301
Cranston,Council Cranston Ward 3,,DEM,John P. Donegan,2212
Cranston,Council Cranston Ward 3,,REP,Derik A. Tutt,1084
Cranston,Council Cranston Ward 3,,NON,WRITE-IN,5
Cranston,Council Cranston Ward 4,,,Total,6572
Cranston,Council Cranston Ward 4,,REP,Edward J. Brady,4048
Cranston,Council Cranston Ward 4,,DEM,Thomas A. Cappalli,2509
Cranston,Council Cranston Ward 4,,NON,WRITE-IN,15
Cranston,Council Cranston Ward 5,,,Total,4514
Cranston,Council Cranston Ward 5,,REP,Christopher G. Paplauskas,4329
Cranston,Council Cranston Ward 5,,NON,WRITE-IN,185
Cranston,Council Cranston Ward 6,,,Total,4994
Cranston,Council Cranston Ward 6,,REP,Michael W. Favicchio,2899
Cranston,Council Cranston Ward 6,,DEM,Stephen T. Tranghese,2088
Cranston,Council Cranston Ward 6,,NON,WRITE-IN,7
Cranston,Non-Partisan School Committee-City Wide,,,Total,24827
Cranston,Non-Partisan School Committee-City Wide,,NON,Michael Anthony Traficante,24091
Cranston,Non-Partisan School Committee-City Wide,,NON,WRITE-IN,736
Cranston,Non-Partisan School Committee Cranston Ward 1,,,Total,4505
Cranston,Non-Partisan School Committee Cranston Ward 1,,NON,Sara K. Tindall-Woodman,2906
Cranston,Non-Partisan School Committee Cranston Ward 1,,NON,Michael D. Baer,1533
Cranston,Non-Partisan School Committee Cranston Ward 1,,NON,WRITE-IN,66
Cranston,Non-Partisan School Committee Cranston Ward 2,,,Total,3775
Cranston,Non-Partisan School Committee Cranston Ward 2,,NON,Stephanie Giangrande Culhane,3693
Cranston,Non-Partisan School Committee Cranston Ward 2,,NON,WRITE-IN,82
Cranston,Non-Partisan School Committee Cranston Ward 3,,,Total,3022
Cranston,Non-Partisan School Committee Cranston Ward 3,,NON,Paul H. Archetto,1685
Cranston,Non-Partisan School Committee Cranston Ward 3,,NON,"Domenic F. Fusco, Jr.",1294
Cranston,Non-Partisan School Committee Cranston Ward 3,,NON,WRITE-IN,43
Cranston,Non-Partisan School Committee Cranston Ward 4,,,Total,5394
Cranston,Non-Partisan School Committee Cranston Ward 4,,NON,"Vincent L. Turchetta, Jr.",5300
Cranston,Non-Partisan School Committee Cranston Ward 4,,NON,WRITE-IN,94
Cranston,Non-Partisan School Committee Cranston Ward 5,,,Total,4386
Cranston,Non-Partisan School Committee Cranston Ward 5,,NON,Janice Ruggieri,4298
Cranston,Non-Partisan School Committee Cranston Ward 5,,NON,WRITE-IN,88
Cranston,Non-Partisan School Committee Cranston Ward 6,,,Total,4112
Cranston,Non-Partisan School Committee Cranston Ward 6,,NON,Daniel R. Wall,4039
Cranston,Non-Partisan School Committee Cranston Ward 6,,NON,WRITE-IN,73
Cranston,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,,Total,29446
Cranston,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Approve,23276
Cranston,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Reject,6170
Cranston,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,,Total,29191
Cranston,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Approve,17314
Cranston,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Reject,11877
Cranston,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,,Total,29261
Cranston,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Approve,22932
Cranston,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Reject,6329
Cranston,4. PLAYGROUNDS AND ATHLETIC FIELDS CITY OF CRANSTON,,,Total,28647
Cranston,4. PLAYGROUNDS AND ATHLETIC FIELDS CITY OF CRANSTON,,NON,Approve,20784
Cranston,4. PLAYGROUNDS AND ATHLETIC FIELDS CITY OF CRANSTON,,NON,Reject,7863
Cumberland,Senator in Congress,,,Total,13984
